statnm,addrdoro,lat,lng
종묘 공영주차장,서울특별시 종로구 종로 157,37.571076,126.99588
세종로 공영주차장,서울특별시 종로구 세종대로 189,37.573611,126.976011
그랜드앰배서더 서울,서울특별시 중구 동호로 287,37.559352,127.00235
한강진역 공영주차장,서울특별시 용산구 한남동 산10-84,37.540085,127.002804
마장동사무소 앞(공중전화부스),서울특별시 성동구 마장동 808,37.5660935,127.0455256
청량리롯데백화점,서울특별시 동대문구 왕산로 214,37.58065,127.047938
이마트 이문점,서울특별시 동대문구 이문로 136,37.598454,127.061848
홈플러스 면목점,서울특별시 중랑구 사가정로 332,37.580612,127.08154
홈플러스 월곡점,서울특별시 성북구 화랑로 76,37.60208293,127.040024
성북벤처빌딩 공영주차장,서울특별시 성북구 장위2동 65-154,37.60936,127.053263
롯데마트 삼양점,서울특별시 강북구 삼양로 247,37.625405,127.017897
빅마켓 도봉점,서울특별시 도봉구 마들로 645,37.667567,127.04549
이마트 은평점,서울특별시 은평구 은평로 111,37.60047527,126.9204741
구파발역 환승주차장,서울특별시 은평구 진관동 66-30,37.638403,126.919044
홈플러스 월드컵점,서울특별시 마포구 월드컵로 240,37.566685,126.898753
시설관리공단 마포유수지주차장,서울특별시 마포구 마포대로1길 19,37.539442,126.943054
노을공원,서울특별시 마포구 상암동 482-116 ,37.569588,126.879244
홈플러스 목동점,서울특별시 양천구 목동서로 170,37.52992611,126.8736403
해맞이공영주차장,서울특별시 양천구 지양로 47,37.520062,126.834854
홈플러스 가양점,서울특별시 강서구 양천로 431,37.56401856,126.8505957
롯데마트 김포공항점,서울특별시 강서구 하늘길 77,37.563453,126.803539
메이필드호텔,서울특별시 강서구 방화대로 94,37.546851,126.818613
롯데마트 구로점,서울특별시 구로구 경인로 482,37.49797486,126.8723453
천왕역 환승주차장,서울특별시 구로구 오류동 174-10,37.487234,126.839153
구로리공원 앞(공중전화부스),서울특별시 구로구 구로동 136-14,37.4912466,126.8919514
홈플러스 시흥점,서울특별시 금천구 시흥대로 201,37.45222814,126.9009394
독산1동 공영주차장,서울특별시 금천구 범안로12가길 65,37.464893,126.89479
제일모직아울렛 건너편(공중전화부스),서울특별시 금천구 가산동 239-27,37.4744454,126.8867302
영등포구 대신시장(공중전화부스),서울특별시 영등포구 신길1동 116-15,37.5113404,126.9176919
현대차 남부서비스센터,서울특별시 동작구 노량진로 53,37.514185,126.931894
동작주차공원 공영주차장,서울특별시 동작구 현충로 213,37.503803,126.976775
조원동 제1공영주차장,서울특별시 관악구 신림동 571-6,37.481069,126.905703
